Afghanistan,4
Africa,1
Albania,1
Algeria,1
Andorra,1
Angola,1
Antigua,-4
Argentina,-3
Armenia,4
Australia,8
Austria,1
Azerbaijan,4
Bahamas,-5
Bahrain,3
Bangladesh,6
Barbados,-4
Belarus,3
Belgium,1
Belize,-6
Benin,1
Bhutan,6
Bolivia,-4
Bosnia,1
Herzegovina,1
Botswana,2
Brazil,-4
Brunei,8
Bulgaria,2
Burkina,0
Burundi,2
Cambodia,7
Cameroon,1
Canada,-5
Chad,1
Chile,-4
China,8
Colombia,-5
Comoros,3
Congo,1
Costa Rica,-6
Croatia,1
Cuba,1
Cyprus,2
Czech,1
Czechia,1
Denmark,-3
England,0
Wales,0
Djibouti,3
Dominica,-4
Timor,9
Ecuador,-5
Egypt,2
Salvador,-6
Eritrea,3
Estonia,2
Ethiopia,3
Fiji,12
Finland,2
France,1
Gabon,1
Gambia,0
Georgia,4
Germany,1
Ghana,0
Greece,2
Grenada,-4
Guatemala,-6
Guinea,0
Guinea-Bissau,0
Guyana,-4
Haiti,-5
Honduras,-6
Hungary,1
Iceland,0
India,5
Indonesia,8
Iran,3
Iraq,3
Ireland,12
Israel,2
Italy,1
Jamaica,-5
Japan,9
Jordan,2
Kazakhstan,5
Kenya,3
Kiribati,12
Korea,9
Kosovo,1
Kuwait,3
Kyrgyzstan,6
Laos,7
Latvia,2
Lebanon,2
Lesotho,2
Liberia,0
Libya,2
Liechtenstein,1
Lithuania,2
Luxembourg,1
Macedonia,1
Madagascar,3
Malawi,2
Malaysia,8
Maldives,5
Mali,0
Malta,1
Mauritania,0
Mauritius,4
Mexico,-6
Micronesia,11
Moldova,2
Monaco,1
Mongolia,8
Montenegro,1
Morocco,0
Mozambique,2
Myanmar,6
Burma,6
Namibia,1
Nauru,12
Nepal,6
Netherlands,1
Nicaragua,-6
Niger,1
Nigeria,1
Norway,1
Oman,4
Ottoman,3
Pakistan,5
Palau,9
Panama,-5
Paraguay,-4
Peru,-5
Philippines,8
Poland,1
Portugal,0
Qatar,1
Romania,2
Russia,3
Rwanda,2
Samoa,12
Scotland,0
Senegal,0
Serbia,1
Seychelles,4
Singapore,8
Slovakia,1
Slovenia,1
Solomon,11
Somalia,3
Spain,1
Sri Lanka,5
Sudan,3
Suriname,-3
Swaziland,2
Sweden,1
Switzerland,1
Syria,2
Taiwan,8
Tajikistan,5
Tanzania,3
Thailand,7
Togo,0
Tonga,12
Trinidad,-4
Tobago,-4
Tunisia,1
Turkey,3
Turkmenistan,5
Tuvalu,12
Uganda,3
Ukraine,2
USA,-5
Uruguay,-3
Uzbekistan,5
Vanuatu,11
Vatican,1
Venezuela,-4
Vietnam,7
Yemen,3
Zambia,2
Zimbabwe,2
Alabama,-6
Alaska,-9
Arizona,-7
Arkansas,-6
California,-8
Colorado,-7
Connecticut,-5
Delaware,-5
Florida,-5
Georgia,-5
Hawaii,-10
Idaho,-7
Illinois,-6
Indiana,-5
Iowa,-6
Kansas,-6
Kentucky,-5
Louisiana,-6
Maine,-5
Maryland,-5
Massachusetts,-5
Michigan,-5
Minnesota,-6
Mississippi,-6
Missouri,-6
Montana,-6
Nebraska,-6
Nevada,-8
Ohio,-5
Oklahoma,-6
Oregon,-8
Pennsylvania,-5
Carolina,-5
Dakota,-6
Tennessee,-6
Texas,-6
Utah,-7
Vermont,-5
Virginia,-5
Washington,-5
Wisconsin,-6
Wyoming,-7
Britain,0
London,0
Yukon,-7
Alberta,-6
Saskatchewan,-6
Manitoba,-6
Ontario,-5
Quebec,-5
Newfoundland,-5
Labrador,-5
Nunavut,-6
Europe       ,2
Boston,-5
Venice,1
America,-5
Oceania,6
Persia,-2
Berlin,-1
Caribbean,-5
Warsaw,-2
Asia,4
Dutch,1
Europe,1
Vancouver,-7
Chicago,-6
Newfoundland,-5
Toronto,-5
Oakland,-7
Punjab,5
Montreal,-5
Gibraltar,0
Brittany,1
Los Angeles,-7
Moscow,3
Nova Scotia,-4
Soviet,3
Liverpool,0
Osaka,9
Kyoto,9
Salt Lake,-7
Capri,1
San Diego,-7
Shanghai,8
Stanford,-7
Edo,9
Tokyo,9
Okinawa,9
Londinium,0
Bunker Hill,-5
Bering,-9
Gettysburg,-5
Halifax,-4
Kanto,9
Angeles,-8
Diego,-8
UK,0
Greenland    ,2
Low Countries,2
Scandinavia  ,2
Nordic       ,2
Chernobyl    ,3
